nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
RS Umum Daerah Muda Sedia Kabupaten Aceh Tamiang;Rumah Sakit Umum;Aceh;Aceh Tamiang;Jl. Kesehatan Kab.Aceh Tamiang ;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Muda+Sedia+Kabupaten+Aceh+Tamiang+Aceh+Tamiang;;;
RS Umum Harapan Ibu;Rumah Sakit Umum;Aceh;Pidie;Jl. Kembang Ranjong-Teupin Raya, Desa Gampong Sagoe No. 7 Kec. Glumpang Baro;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Harapan+Ibu+Pidie;;;
RS Umum Bunga Melati;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Samudra Baru No.3, Keude Aceh Kec. Banda Sakti;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Bunga+Melati+Kota+Lhokseumawe;;;
RS Umum Ummi Langsa;Rumah Sakit Umum;Aceh;Kota Langsa;Jl. Prof. Majid Ibrahim No.10 A Kelurahan. Gp Sungai Pauh Kecamatan Langsa Barat  Kota Langsa, Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Ummi+Langsa+Kota+Langsa;;;
RS Umum Telaga Bunda;Rumah Sakit Umum;Aceh;Bireuen;Jl. Peutua Banta 7, Gampong Bireuen Meunasah Blang;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Telaga+Bunda+Bireuen;;;
RS Hermina Aceh;Rumah Sakit Umum;Aceh;Aceh Besar;Jl. Soekarno Hatta,  Kec. Ingin Jaya;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Hermina+Aceh+Aceh+Besar;;;
RS Cut Nyak Dhien Langsa;Rumah Sakit Umum;Aceh;Kota Langsa;Jl. T.M. Bachrun No.1. Kabupaten Kota Langsa Provinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Cut+Nyak+Dhien+Langsa+Kota+Langsa;;;
RS Umum Inanta;Rumah Sakit Umum;Sumatera Utara;Kota Padang Sidempuan;Jl. Sisingamangaraja No.85/87, Kota Padangsidimpuan Provinsi Sumatera Utara;TRUE;http://maps.google.co.id/?q=1.381065,99.274211;;;
RS Umum Putri Bidadari;Rumah Sakit Umum;Sumatera Utara;Langkat;JL. STABAT-TANJUNG PURA RT.002/RW.007 DUSUN DONDONG SEJATI DESA JENTERA STABAT KEC. WAMPU KAB. LANGKAT;TRUE;http://maps.google.co.id/?q=3.77507,98.43471;;;
RS Umum Dr. Gerhard L. Tobing;Rumah Sakit Umum;Sumatera Utara;Deli Serdang;Jl. Medan-Tanjung Morawa Km. 15,5, Kec. Tanjung Morawa, Kab. Deli Serdang, Prov. Sumatera Utara;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Dr.+Gerhard+L.+Tobing+Deli+Serdang;;;
RS Umum Utama;Rumah Sakit Umum;Sumatera Utara;Asahan;Jl. HOS. Cokroaminoto No. 93 Kel. Kisaran Kota Kec. Kisaran Barat;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Utama+Asahan;;;
RS Murni Teguh Horas Insani;Rumah Sakit Umum;Sumatera Utara;Kota Pematang Siantar;Jl. Medan KM 2.5, Kel. Nagapitu, Kec. Siantar Martoba, Kota Pematang Siantar, Sumatra Utara;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Murni+Teguh+Horas+Insani+Kota+Pematang+Siantar;;;
RS Umum Hadi Husada;Rumah Sakit Umum;Sumatera Utara;Kota Tanjung Balai;Jl Jend. Sudirman No. 26 Tanjungbalai Kel. Karya Kec. Tanjungbalai Selatan Kota Tanjungbalai  Provinsi sumatra Utara;TRUE;http://maps.google.co.id/?q=2.962946,99.80474;;;
RS Umum Daerah Bangun Purba;Rumah Sakit Umum;Sumatera Utara;Deli Serdang;Jl. Perintis Kemerdekaan No. 60 Desa Bangun Purba Kec.Bangun Purba;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Bangun+Purba+Deli+Serdang;;;
RS Umum Bahagia Medan;Rumah Sakit Umum;Sumatera Utara;Kota Medan;Jl Bahagia No.85, Kelurahan Teladan Timur, Kecamatan Medan Kota, Provinsi Sumatera Utara;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Bahagia+Medan+Kota+Medan;;;
RS Umum Vina Estetica;Rumah Sakit Umum;Sumatera Utara;Kota Medan;Jl Sultan Iskandar Muda No.119, Kec. Medan Petisah, ;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Vina+Estetica+Kota+Medan;;;
RS Umum Daerah Dolok Sanggul;Rumah Sakit Umum;Sumatera Utara;Humbang Hasundutan;Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Dolok+Sanggul+Humbang+Hasundutan;;;
RS Umum Sint Lucia;Rumah Sakit Umum;Sumatera Utara;Tapanuli Utara;Jl. Sisingamangaraja No. 171/173 Siborongborong. Tapanuli Utara;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Sint+Lucia+Tapanuli+Utara;;;
RS Umum Daerah Lukas Hilisimaetano;Rumah Sakit Umum;Sumatera Utara;Nias Selatan;Jl. RSUD Lukas No. 1 Hilisimaetano;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Lukas+Hilisimaetano+Nias+Selatan;;;
